TimeStamp;PTS1;PTS2;PTS3;PTS4;PTS5;PTS6;PTS7;PTS8;PTS9;PTS10;PTS11;PTS12;PTS13;PTS14;PTS15;PTS16;PTS17;PTS18;PTS19;PTS20;PTS21;PTS22;PTS23;PTS24;PTS25;PTS26;PTS27;PTS28;PTS29;PTS30;PTS31;PTS32;PTS33;PTS34;PTS35;PTS36;PTS37;PTS38;PTS39;PTS40;PTS41;PTS42;PTS43;PTS44;PTS45;PTS46;PTS47;PTS48;PTS49;PTS50;PTS51;PTS52;PTS53;PTS54;PTS55;PTS56;PTS57;PTS58;PTS59;PTS60;PTS61;PTS62;PTS63;PTS64;PTS65;PTS66;PTS67;PTS68;PTS69;PTS70;PTS71;PTS72;PTS73;PTS74;PTS75;PTS76;PTS77;PTS78;PTS79;PTS80;PTS81;PTS82;PTS83;PTS84;PTS85;PTS86;PTS87;PTS88;PTS89;PTS90;PTS91;PTS92;PTS93;PTS94;PTS95;PTS96;PTS97;PTS98;PTS99;PTS100;PTS101;PTS102;PTS103;PTS104;PTS105;PTS106;PTS107;PTS108;PTS109;PTS110;PTS111;PTS112;PTS113;PTS114;PTS115;PTS116;PTS117;PTS118;PTS119;PTS120;PTS121;PTS122;PTS123;PTS124;PTS125;PTS126;PTS127;PTS128;PTS129;PTS130;PTS131;PTS132;PTS133;PTS134;PTS135;PTS136;PTS137;PTS138;PTS139;PTS140;PTS141;PTS142;PTS143;PTS144;PTS145;PTS146;PTS147;PTS148;PTS149
1986-04-07;0;;;1;;0;;0;1;;;;;;;;;1;;;;;;;1;0;;;1;;;1;0;0;1;;;;1;1;;1;0;;0;;1;0;1;1;1;0;1;1;0;1;;0;1;;;1;;1;1;1;0;;;;;0;1;;;;0;1;;;1;;1;;;1;1;;;1;1;1;0;0;1;;1;;1;;;;;1;;;0;;1;;1;;1;;0;;1;;;0;1;0;0;;0;1;;;0;;;;;0;1;0;;0;0;0;0;1;1;1;1;1;0;1;0
1986-05-25;1;1;0;1;0;0;;0;1;;;1;;;0;;;1;;;;;;;0;0;1;0;1;1;0;0;0;0;1;;0;1;1;1;;1;0;;0;0;0;0;1;1;1;0;1;1;0;1;;0;1;0;0;0;;1;1;1;0;1;1;1;0;0;1;0;;;0;1;0;;1;1;1;0;1;1;1;;1;1;1;1;0;0;1;0;1;1;0;;1;;0;1;;0;0;0;1;1;0;1;1;;0;0;1;0;;0;1;0;0;;0;0;;1;0;0;1;1;1;0;1;0;;0;0;1;1;1;1;1;1;1;1;1;1
1986-11-17;0;0;0;0;1;0;;0;0;;;1;;;0;;;0;;;;;;;0;0;1;0;0;0;0;0;0;0;1;;0;0;0;0;;1;0;;0;0;1;1;1;0;0;0;0;0;0;0;;0;1;0;0;0;;1;0;0;0;0;1;1;0;0;1;0;;;0;0;0;;1;1;1;0;0;0;1;;0;0;0;1;0;0;0;;0;1;0;;0;;0;1;;0;0;0;0;0;0;1;1;;0;0;1;0;;0;0;0;0;;0;0;;0;0;0;1;0;0;0;0;0;;0;0;0;1;0;0;0;0;0;1;1;0
1986-12-19;0;1;0;1;1;;;0;0;;0;;0;;0;;;1;;;;;;;1;0;1;0;0;1;1;0;;0;;;0;1;;1;;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;;0;;0;0;0;;1;0;0;0;0;;1;1;0;1;0;;;0;0;0;;1;1;1;0;1;0;1;;0;1;1;1;0;0;;0;1;1;0;;1;;0;1;;0;0;0;;0;0;;1;;0;0;1;;;0;0;0;1;;0;0;;;;;;;1;0;0;0;;0;1;0;1;1;0;0;0;;1;1;1
1987-02-21;0;1;0;0;1;0;;0;1;;;1;;;0;;;0;;;;;;;0;0;1;0;0;0;0;0;0;0;0;;0;1;1;0;;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0;;1;0;0;0;0;1;1;0;0;1;0;;;0;0;0;;1;1;0;0;1;0;1;;0;0;0;1;0;0;0;0;0;1;0;;0;;0;1;;0;0;0;1;0;0;1;1;;0;0;0;0;;0;1;0;0;;0;0;;0;0;0;1;0;0;0;1;0;;0;1;0;1;0;0;0;1;0;0;1;0
1989-06-18;0;0;0;1;1;0;;0;0;;;1;;;0;;;1;;;;;;;0;0;1;;0;1;0;0;0;0;1;;0;1;1;1;;0;0;;0;0;0;0;0;0;0;0;1;0;0;1;;0;1;0;0;0;;1;1;1;0;0;0;0;1;0;1;0;;;0;0;0;;1;1;0;0;1;1;1;;1;1;1;1;0;0;0;;1;1;0;;0;;0;1;;0;0;0;1;1;;1;1;;0;0;0;0;;;0;0;0;;0;0;;1;0;0;1;1;1;0;1;0;;0;0;0;0;1;0;1;1;0;1;1;0
1989-07-20;0;0;0;1;0;0;;0;;;;1;;;0;;;1;;;;;;;0;0;1;0;;1;0;0;0;;1;;0;1;1;0;;0;;;0;0;0;0;0;;0;0;;0;0;0;;;1;0;0;0;;1;1;1;0;0;1;0;1;0;0;0;;;0;0;0;;1;1;0;0;1;0;1;;0;;0;1;0;;0;;0;0;0;;0;;0;1;;0;0;0;1;1;0;1;1;;0;0;1;0;;0;;0;0;;0;0;;1;0;0;0;0;1;0;;;;;;;;;;;;0;1;1;0
1989-08-21;0;0;0;1;0;0;;0;0;;;1;;;0;;;1;;;;;;;0;0;1;0;0;1;0;0;0;0;1;;0;0;1;0;;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0;;1;1;0;0;0;1;0;1;0;1;0;;;0;0;0;;1;1;1;0;1;0;0;;1;0;0;1;0;0;0;0;0;1;0;;0;;0;1;;0;0;0;1;1;0;1;1;;0;0;1;1;;0;0;0;0;;0;0;;1;0;0;0;0;0;0;1;1;;0;0;0;0;1;0;1;1;0;1;1;0
1989-09-22;0;0;0;0;1;0;;0;0;;;;;;0;;;1;;;;;;;0;0;1;;0;1;0;0;0;0;1;;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;1;0;0;0;;0;1;0;0;0;;1;1;0;0;0;1;0;1;0;1;0;;;0;0;0;;1;1;1;0;0;0;0;;1;0;0;1;0;0;0;;0;0;0;;0;;;1;;0;0;0;0;1;0;1;1;;0;0;0;0;;;0;0;0;;0;0;;1;0;0;0;0;0;1;0;0;;0;0;0;0;1;0;1;1;0;1;1;0
1989-11-25;0;0;0;1;0;0;;0;0;;;;;;0;;;0;;;;;;;0;0;1;;0;0;0;0;0;0;0;;0;1;1;0;;0;0;;;0;0;0;0;;;0;0;0;0;0;;0;1;1;0;0;;1;0;1;0;0;1;;1;0;1;0;;;0;0;0;;1;1;1;0;0;;0;;0;0;0;0;0;0;1;;0;1;0;;0;;;1;;0;;0;0;0;0;1;1;;0;0;1;0;;;0;;0;;0;0;;1;0;0;0;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;1;1;0
1989-12-11;0;0;0;;;0;;0;;;;1;;;0;;;;;;;;;;;0;1;;;;0;0;0;;1;;0;1;1;0;;;;;0;0;0;0;;;;;;0;0;0;;;1;0;0;;;1;1;1;;;1;0;1;0;1;0;;;0;1;0;;1;1;1;0;1;;0;;;;;1;1;0;1;;0;1;0;;0;;0;1;;0;0;;0;0;;;1;;0;0;1;;;;;;;;0;0;;1;0;0;0;1;0;0;;;;;;;;;;;;0;0;1;
1990-03-01;0;1;0;1;1;0;;0;0;;;1;;;1;;;0;;;;;;;0;0;1;0;0;0;0;0;0;0;1;;0;1;1;0;;1;0;;0;0;0;0;0;1;1;0;1;0;0;1;;1;1;1;0;0;;1;0;0;0;0;1;1;1;0;1;0;;;0;1;0;;1;1;1;0;1;0;1;;1;1;1;1;0;0;1;1;1;1;0;;0;;0;1;;0;0;0;1;0;0;1;1;;0;0;0;1;;0;1;1;0;;1;0;;1;0;0;0;1;0;0;1;1;;1;0;0;1;1;0;1;1;0;1;1;1
1990-03-17;0;1;0;1;1;0;;0;0;;;1;;;1;;;0;;;;;;;0;0;1;0;0;0;0;0;0;0;1;;0;1;1;1;;1;0;;0;0;0;0;0;1;1;0;1;0;0;1;;1;1;1;0;0;;1;1;0;0;0;1;1;1;0;1;0;;;0;0;0;;1;1;1;0;1;1;1;;1;1;1;1;0;0;1;1;1;1;0;;0;;0;1;;0;0;0;1;0;0;1;1;;0;0;0;0;;0;1;1;0;;0;0;;1;0;0;0;1;0;0;1;1;;1;0;0;1;1;0;1;1;0;1;1;0
1990-04-18;1;1;0;1;1;0;;0;0;;;1;;;0;;;0;;;;;;;0;0;1;0;0;0;0;0;0;0;1;;0;1;1;1;;1;0;;0;0;0;0;0;1;1;0;1;1;0;1;;0;1;0;0;0;;1;1;1;0;0;1;1;1;0;1;0;;;0;0;0;;1;1;1;0;1;1;1;;0;1;1;1;0;0;1;0;1;1;0;;0;;0;1;;0;0;0;1;0;0;1;1;;0;0;0;0;;0;1;1;0;;0;1;;1;0;0;0;1;0;0;1;1;;1;0;0;1;1;0;1;1;1;1;1;1
1990-05-04;1;1;0;1;0;0;;0;0;;;1;;;0;;;0;;;;;;;0;0;1;;0;0;0;0;0;0;1;;0;1;1;0;;1;0;;0;0;0;0;0;1;1;0;1;0;0;0;;0;1;0;0;0;;1;1;0;0;0;0;1;0;0;1;0;;;0;0;0;;0;1;1;0;1;1;1;;0;0;1;1;0;0;1;;1;1;0;;0;;0;1;;0;0;0;1;0;0;1;1;;0;0;0;0;;0;1;1;0;;0;0;;1;0;0;0;1;0;0;1;1;;1;0;0;1;1;0;1;1;0;0;1;0
1990-06-05;0;1;0;1;0;0;;0;0;;;1;;;0;;;0;;;;;;;0;0;1;0;0;0;0;0;0;0;1;;0;1;1;0;;1;0;;0;0;0;0;0;1;1;0;1;1;0;0;;1;1;0;0;0;;1;0;0;0;0;0;1;0;0;1;0;;;0;0;0;;0;1;0;0;1;0;1;;0;1;0;1;0;0;1;0;1;0;0;;0;;0;1;;0;0;0;1;0;0;1;1;;0;0;0;0;;0;1;1;0;;0;0;;1;0;0;0;1;0;0;1;1;;1;0;0;1;1;0;1;1;0;0;1;0
1990-06-21;0;1;0;1;0;0;;0;0;;;1;;;0;;;0;;;;;;;0;0;1;0;0;0;0;0;0;0;1;;0;1;1;0;;1;0;;0;0;0;0;0;1;1;0;1;0;0;0;;0;1;0;0;0;;1;0;0;0;0;0;1;0;0;0;0;;;0;0;0;;0;1;0;0;1;1;1;;1;1;0;1;0;0;1;0;1;1;0;;0;;0;1;;0;0;0;1;0;0;1;1;;0;0;0;0;;0;1;0;0;;0;0;;1;0;0;0;0;0;0;1;1;;1;0;0;1;1;0;1;1;0;0;1;0
1990-07-23;0;1;0;0;0;0;;0;0;;;1;;;0;;;0;;;;;;;0;0;1;0;0;0;0;0;0;0;1;;0;0;1;0;;1;0;;0;0;0;0;0;1;0;0;0;0;0;0;;0;1;0;0;0;;1;0;0;0;0;0;0;0;0;1;0;;;0;0;0;;0;0;0;0;1;0;0;;0;0;0;1;0;0;0;0;0;0;0;;0;;0;1;;0;0;0;1;0;0;1;1;;0;0;0;0;;0;0;0;0;;0;0;;1;0;0;0;0;0;0;1;1;;1;0;0;1;1;0;1;1;0;0;1;0
1990-09-25;0;0;0;0;0;0;;0;0;;;0;;;0;;;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;0;;0;0;0;0;0;1;0;0;1;0;0;0;;0;1;0;0;0;;1;0;0;0;0;1;0;0;0;1;0;;;0;0;0;;0;0;0;0;1;0;0;;0;0;0;1;0;0;0;0;0;1;0;;0;;0;1;;0;0;0;0;0;0;1;1;;0;0;0;0;;0;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;0;0;1;0;1;1;0;0;1;0
1990-10-11;0;1;0;0;0;0;;0;0;;;0;;;0;;;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;0;;0;0;1;0;0;1;0;0;1;0;0;0;;0;1;0;0;0;;1;0;0;0;0;1;;1;0;1;0;;;0;0;0;;0;0;1;0;1;0;0;;0;0;0;1;0;0;0;0;0;0;0;;0;;0;1;;0;0;0;0;0;0;1;1;;0;0;0;0;;0;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;1;0;0;1;0
1990-10-27;0;0;0;0;0;0;;0;0;;;0;;;0;;;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;0;;0;0;0;0;0;1;0;0;0;0;0;0;;0;1;0;0;0;;1;0;0;0;0;1;0;1;0;0;0;;;0;0;0;;0;1;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;;0;1;;0;0;0;0;0;0;1;0;;0;0;0;0;;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
1990-11-28;0;0;;0;0;0;;0;0;;0;1;0;;;;;;;;;;;;;0;0;1;0;0;;0;0;0;1;;0;0;0;;;0;0;0;0;0;;0;0;1;1;0;0;0;0;0;;0;1;0;0;0;;1;0;0;0;0;;0;1;0;0;0;;;0;0;0;;0;1;0;0;0;1;0;;0;0;0;0;0;0;;1;;;0;;0;;0;1;;0;1;0;0;0;0;1;0;;0;0;0;0;;0;1;1;0;;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
1990-12-30;0;1;0;0;1;0;;0;0;;;1;;;1;;;1;;;;;;;1;0;;0;0;1;;0;1;0;1;;0;;1;0;;1;;;0;0;0;0;0;1;1;0;0;0;0;1;;0;1;0;0;0;;1;0;0;0;0;;0;1;0;1;0;;;0;0;0;;1;1;1;0;;1;0;;0;0;0;1;0;0;1;1;0;1;1;;1;;0;1;;0;;0;1;0;0;1;1;;0;0;0;0;;0;1;1;0;;0;0;;;0;;0;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;1;1;0
1991-03-04;0;1;0;1;0;0;;0;1;;;1;;;1;;;;;;;;;;;0;1;0;1;1;0;1;0;0;1;;0;1;1;1;;1;1;;0;0;0;0;1;1;1;0;1;0;0;1;;1;1;0;0;;;1;1;1;0;0;0;0;1;0;1;0;;;0;0;1;;1;1;1;0;1;;1;;;1;1;1;0;1;0;;1;1;0;;1;;0;1;;0;1;;1;0;0;1;1;;0;0;0;;;;1;;0;;0;0;;1;0;0;0;1;0;0;1;1;;1;1;1;1;1;1;0;1;0;1;1;1
1991-03-20;0;1;0;1;0;0;;0;1;;;1;;;1;;;1;;;;;;;1;1;1;1;1;1;0;1;1;0;1;;0;1;1;1;;1;0;;0;1;1;1;1;1;;0;1;1;1;1;;1;1;1;0;0;;1;1;1;0;0;1;1;1;0;1;1;;;0;;1;;0;1;1;0;1;;1;;1;1;1;1;0;0;1;;1;1;1;;0;;1;1;;0;;0;1;0;0;1;1;;1;0;1;0;;;1;1;0;;0;1;;1;0;1;1;1;1;0;1;1;;1;1;1;1;1;1;0;1;1;1;1;1
1991-04-05;0;1;0;1;0;0;;0;1;;;1;;;1;;;0;;;;;;;1;0;1;0;1;0;0;0;0;0;1;;0;1;1;1;;1;1;;0;0;0;0;1;1;1;0;1;0;0;1;;1;1;1;0;0;;1;1;1;0;0;1;1;1;0;1;0;;;0;0;0;;1;1;1;1;1;1;1;;1;1;1;1;0;0;1;0;1;1;0;;0;;0;1;;0;1;0;1;0;0;1;1;;1;0;0;0;;0;1;1;0;;0;1;;1;0;0;1;1;0;0;1;1;;1;1;1;1;1;1;1;1;0;1;1;1
1991-04-21;0;1;0;1;0;0;;0;1;;;1;;;1;;;0;;;;;;;1;0;1;0;;0;0;0;0;0;1;;0;1;1;1;;1;1;;0;0;0;0;1;1;1;0;1;0;0;0;;1;1;1;0;0;;1;1;1;0;0;1;1;1;0;1;0;;;0;0;0;;0;1;1;0;1;1;1;;1;;1;1;0;0;1;0;1;1;0;;0;;0;1;;0;0;0;1;0;0;1;1;;1;0;0;0;;0;1;1;0;;0;0;;1;0;0;0;1;0;0;1;1;;1;1;1;1;1;1;0;1;0;1;1;1
1991-06-24;0;1;0;1;0;0;;0;1;;0;1;;;0;;;0;;;;;;;0;0;1;0;1;1;0;0;0;0;1;;0;1;1;1;;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;;1;1;0;0;0;;1;1;0;0;0;0;1;0;0;0;0;;;0;0;0;;0;0;0;0;1;1;1;;1;1;0;1;0;0;1;0;1;1;0;;0;;0;1;;0;0;0;1;0;0;1;0;;0;0;0;0;;0;1;0;0;;0;0;;0;0;0;0;1;0;0;1;1;;1;1;1;1;1;1;1;1;0;0;1;0
1991-07-10;0;1;0;1;0;0;;0;1;;0;1;;;1;;;0;;;;;;;0;0;1;0;1;0;0;0;0;0;1;;0;1;1;0;;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;1;1;0;0;0;;1;0;0;0;0;0;1;0;0;1;0;;;0;0;0;;0;0;0;0;1;1;1;;1;1;0;1;0;0;0;0;1;1;0;;0;;0;1;;0;0;0;1;0;0;1;0;;0;0;0;0;;0;1;0;0;;0;0;;0;0;0;0;1;0;0;1;1;;1;1;1;1;1;1;1;1;0;0;1;0
1991-07-26;0;0;0;1;0;0;;0;1;;0;1;0;;1;;;1;;;;;;;0;0;1;0;1;0;0;0;0;0;1;;0;1;1;1;;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;1;1;0;0;0;;1;1;0;0;0;0;1;0;0;1;0;;;0;0;0;;0;0;0;0;1;1;1;;1;1;0;1;0;0;1;0;0;1;0;;0;;0;1;;0;0;0;1;0;0;1;0;;0;0;0;0;;0;1;0;0;;0;0;;0;0;0;0;1;0;0;1;1;;1;1;1;1;1;1;1;1;0;0;0;0
1991-08-11;0;1;0;1;0;0;;0;1;;;1;;;0;;;0;;;;;;;0;0;1;0;0;0;0;0;0;0;1;;0;1;1;0;;0;0;;0;0;0;0;0;1;0;0;1;0;0;0;;1;1;0;0;0;;1;0;0;0;0;1;1;1;0;1;0;;;0;0;0;;0;0;0;0;1;1;1;;1;1;0;1;0;0;0;0;0;1;0;;0;;0;1;;0;0;0;1;0;0;1;0;;0;0;0;1;;0;1;0;0;;0;0;;0;0;0;0;1;0;0;1;1;;1;1;1;1;1;1;1;1;0;0;1;0
1991-09-28;0;0;0;0;0;;;0;1;;;1;;;0;;;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;;0;0;;0;0;0;0;0;1;0;0;1;0;0;0;;1;0;0;0;0;;1;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;0;1;0;0;1;0;0;;0;0;0;0;0;0;0;0;1;0;0;;0;;0;1;;0;0;0;0;0;0;1;0;;0;0;0;0;;0;1;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;1;0;0;1;1;0;1;0;0;0;0
1991-10-30;0;0;0;0;0;0;;0;1;;;0;;;0;;;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;;0;0;;0;0;0;0;0;1;0;0;1;0;0;0;;0;0;0;0;0;;1;0;0;0;0;0;0;0;0;0;0;;;0;0;0;;0;1;0;0;1;0;0;;0;0;0;1;0;0;0;0;0;0;0;;0;;0;1;;;0;0;0;0;0;1;0;;0;0;0;0;;0;1;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
1992-04-07;0;1;0;1;0;1;;0;1;;;1;;;1;;;1;;;;;;;1;0;1;0;0;1;0;0;0;0;1;;0;1;1;1;;1;0;;0;0;0;0;1;1;1;0;1;0;0;1;;1;1;1;0;0;;1;1;1;0;0;1;1;0;0;0;0;;;0;1;0;;1;1;0;0;1;1;1;;1;1;1;1;0;0;0;0;1;1;0;;1;;0;1;;0;0;0;1;1;1;1;1;;0;0;0;1;;0;1;1;0;;0;0;;1;0;0;1;1;0;0;1;1;;1;1;1;1;1;1;0;1;1;0;1;0
1992-06-26;0;1;0;0;0;1;;0;1;;;1;;;0;;;1;;;;;;;0;0;0;0;0;1;0;0;0;0;0;;0;1;1;0;;0;0;;0;0;0;0;0;1;1;0;1;0;0;0;;1;1;0;0;0;;1;0;0;0;0;0;1;0;0;0;0;;;0;0;0;;0;0;0;0;1;1;1;;1;0;0;1;0;0;0;0;0;0;0;;1;;0;1;;0;0;0;1;1;0;1;1;;0;0;0;1;;0;0;0;0;;0;0;;1;0;0;1;1;0;0;0;1;;0;1;0;1;1;0;1;1;0;0;1;0
1992-08-29;0;0;0;0;0;1;;0;0;;;;;;0;;;1;;;;;;;0;0;0;0;0;1;0;0;0;0;0;;0;1;1;0;;0;0;;0;1;0;0;0;1;0;0;0;0;0;0;;0;1;0;0;0;;1;0;0;0;0;1;;0;0;1;0;;;0;0;0;;0;0;0;0;1;0;0;;1;0;0;1;0;0;0;0;0;1;0;;1;;0;1;;0;0;0;0;;;;1;;0;0;0;1;;0;0;0;0;;0;0;;1;0;0;1;1;0;1;0;0;;0;1;0;0;0;0;0;0;0;0;1;0
1992-09-14;0;1;0;0;0;1;;0;0;;;1;;;0;;;0;;;;;;;0;0;0;0;0;1;0;0;0;0;0;;0;1;0;0;;0;0;;0;0;0;0;0;1;0;0;0;0;0;0;;0;1;0;0;0;;1;0;0;0;0;1;0;0;0;1;0;;;0;0;0;;0;0;0;0;1;0;0;;1;0;0;0;0;0;0;0;0;1;0;;1;;0;1;;0;0;0;0;;0;1;1;;0;0;0;0;;0;0;0;0;;0;0;;1;0;0;1;1;0;1;0;0;;0;0;0;0;0;0;0;0;0;0;1;0
1992-12-03;0;0;0;1;1;0;;0;1;;0;0;;;0;;;1;;;;;;;0;0;0;0;0;0;0;0;0;0;0;;0;0;1;0;;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;;0;0;0;0;0;;1;0;0;0;0;0;0;0;0;1;0;;;0;1;1;;0;1;0;0;0;0;1;;0;0;0;1;0;0;0;0;0;1;0;;1;;0;1;;0;0;0;0;1;0;1;0;;0;0;0;0;;0;0;0;0;;0;0;;0;0;0;1;1;0;0;0;1;;0;0;0;1;0;0;0;0;0;1;0;0
1993-05-28;0;1;0;1;0;0;;0;0;;;0;;;0;;;1;;;;;;;0;0;1;0;0;0;0;0;0;0;1;;0;1;1;1;;0;0;;0;0;0;0;1;1;1;0;1;0;0;0;;0;0;1;0;0;;1;1;0;0;0;0;1;0;0;0;0;;;0;1;0;;1;1;0;0;1;0;1;;0;;0;1;0;0;1;0;0;1;0;;1;;0;1;;0;0;0;1;0;0;1;1;;0;0;0;0;;0;;1;0;;0;0;;1;0;0;1;1;1;0;1;1;;0;0;0;1;1;1;1;1;0;1;1;0
1993-06-13;0;1;0;1;0;0;;0;0;;;0;;;0;;;1;;;;;;;0;0;1;0;0;0;0;0;0;0;1;;0;1;1;1;;0;0;;0;0;0;0;1;0;1;0;0;0;0;0;;0;0;0;0;0;;1;1;0;0;0;0;1;0;0;0;0;;;0;1;0;;1;1;0;0;1;0;1;;0;0;0;1;0;0;0;0;0;1;0;;1;;0;0;;0;0;0;1;0;0;1;1;;0;0;0;0;;0;0;1;0;;0;0;;0;0;0;1;1;0;0;1;0;;0;0;0;1;1;1;1;1;0;0;1;0
1993-08-16;0;0;0;0;0;0;;0;0;;;;;;0;;;0;;;;;;;0;0;1;;0;0;0;0;0;0;0;;0;0;1;0;;0;0;;0;0;0;0;0;0;0;0;1;0;0;0;;0;1;0;0;0;;1;0;0;0;0;1;;0;0;0;0;;;0;0;0;;0;0;0;0;1;0;0;;0;0;0;1;0;0;0;;0;1;0;;0;;;1;;0;0;0;0;0;0;1;1;;0;0;0;0;;;0;0;0;;0;0;;0;0;0;1;0;0;0;0;0;;0;0;0;0;1;0;1;1;0;0;1;0
1993-09-01;0;1;0;0;0;0;;0;0;;;;;;0;;;0;;;;;;;0;0;1;;0;0;0;0;0;0;0;;0;0;1;0;;0;0;;0;0;0;0;0;0;0;0;1;0;0;0;;0;1;0;0;0;;1;0;0;0;0;1;0;0;0;0;0;;;0;0;0;;0;0;0;0;1;0;0;;0;0;0;1;0;0;0;;0;1;0;;0;;;1;;0;0;0;0;0;0;1;0;;0;0;0;0;;;0;0;0;;0;0;;0;0;0;1;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;1;1;0
1993-09-17;0;1;0;0;0;0;;0;0;;;;;;0;;;0;;;;;;;0;0;1;;0;0;0;0;0;0;0;;0;0;1;0;;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0;;1;0;0;0;0;1;0;0;0;0;0;;;0;0;0;;0;0;0;0;0;0;0;;0;0;0;1;0;0;0;;0;0;0;;0;;;1;;0;0;0;0;0;0;1;0;;0;0;0;0;;;0;0;0;;0;0;;0;0;0;1;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;1;0;0
1994-03-28;0;1;0;0;0;0;;0;0;;;1;;;1;;;0;;;;;;;0;0;1;;0;1;0;0;0;0;1;;0;1;1;0;;0;0;;0;0;0;0;0;1;0;0;0;0;0;1;;0;1;1;0;0;;1;1;1;0;0;1;0;0;0;0;0;;;0;0;0;;1;0;0;0;1;1;0;;0;1;0;1;0;0;1;;1;1;0;;1;;0;1;;0;0;0;1;0;0;1;1;;0;0;1;0;;;0;1;0;;0;0;;1;0;0;1;1;0;0;1;0;;1;0;0;1;1;1;1;1;1;1;1;0
1994-04-13;0;1;0;0;0;0;;0;;;;1;;;1;;;0;;;;;;;0;0;1;;;1;0;0;0;;1;;0;1;1;0;;0;;;0;0;0;0;0;;0;0;;0;0;1;;;1;1;0;0;;1;1;0;0;0;1;0;0;0;0;0;;;0;0;0;;0;0;0;0;1;0;1;;0;;0;1;0;;1;;0;1;0;;1;;;1;;0;0;0;1;0;0;1;1;;0;0;0;0;;;;0;0;;0;0;;1;0;0;1;1;0;0;;;;;;;;;;;;0;1;1;0
